term,id,preferred term
nondeclarative knowledge,trm_4a3fd79d0aa23,nondeclarative knowledge
multisensory integration,trm_4e31ced566649,multisensory integration
morphological processing,trm_4a3fd79d0b832,morphological processing
directed forgetting task,trm_4da87f383435b,directed forgetting task
auditory tone perception,trm_55ef273a77a86,auditory tone perception
deductive reasoning task,trm_4c898b8c2d071,deductive reasoning task
face identification task,trm_551efdfd1a356,face identification task
face working memory task,trm_4f2421a62cdf8,face working memory task
overlapping figures task,trm_4fbd2b964d3ec,overlapping figures task
digit/symbol coding test,tsk_4a57abb949a25,digit/symbol coding test
category based induction,trm_4a3fd79d09c34,category based induction
emotion recognition task,trm_50f734f86b11a,emotion recognition task
drawing from memory task,trm_4fbd2e5614028,drawing from memory task
mouse tracking paradigms,trm_55217bd86ee12,mouse tracking paradigms
cue dependent forgetting,trm_4a3fd79d09f70,cue dependent forgetting
young mania rating scale,trm_558702243da12,young mania rating scale
letter number sequencing,trm_4c3e0a9576c3b,letter number sequencing
autism spectrum quotient,trm_51d6fe3f3942f,autism spectrum quotient
sequence recall/learning,trm_4c8a83cac75f5,sequence recall/learning
willingness to wait task,trm_569989ef8cff4,willingness to wait task
upps-p impulsivity scale,trm_56a91a92043bc,upps-p impulsivity scale
creative problem solving,trm_4a3fd79d09f36,creative problem solving
attention switching task,trm_4f241614d4a25,attention switching task
brief self control scale,trm_56a915461cd91,brief self control scale
conversational structure,trm_4a3fd79d09efb,conversational structure
visual place recognition,trm_557b4b7e68727,visual place recognition
incidental encoding task,trm_50df0dd9d0b6f,incidental encoding task
syntactic discrimination,trm_4c8a842512a33,syntactic discrimination
backward digit span task,tsk_4a57abb94989b,backward digit span task
sentence completion test,tsk_4a57abb949d9f,sentence completion test
selective attention task,tsk_4a57abb949d76,selective attention task
working memory retrieval,trm_4a3fd79d0ba6c,working memory retrieval
adult behavior checklist,trm_523ca67b786d5,adult behavior checklist
visuospatial cueing task,tsk_4a57abb949ee9,visuospatial cueing task
child behavior checklist,trm_524b4a402c87e,child behavior checklist
partial report procedure,trm_50b65ef129e23,partial report procedure
wais picture arrangement,trm_51070ae889d95,wais picture arrangement
picture-word stroop test,trm_4dadbfd771a54,picture-word stroop test
motor fmri task paradigm,trm_550b53d7dd674,motor fmri task paradigm
retinotopic mapping task,trm_558c4d3105abf,retinotopic mapping task
preschool language scale,trm_5266bc6473fd8,preschool language scale
vocal response execution,trm_55ef3ba010121,vocal response execution
retroactive interference,trm_4a3fd79d0afab,retroactive interference
nonword repetition task,trm_4da88b17b985b,nonword repetition task
object alternation task,trm_4da88bb3c2462,object alternation task
prospective memory task,trm_4f244860c702c,prospective memory task
piaget's water jar task,trm_5206bf053acf4,piaget's water jar task
rhyme verification task,trm_4d949c5b0e380,rhyme verification task
synchrony judgment task,trm_4e31d031bc8c2,synchrony judgment task
imagined objects/scenes,trm_4c89903149aeb,imagined objects/scenes
loneliness rating scale,trm_529d087705bfa,loneliness rating scale
phasic pain stimulation,trm_4e6114e7b1ff2,phasic pain stimulation
perceptual organization,trm_551b0e6b88363,perceptual organization
paired associate recall,trm_4c8991e6e8597,paired associate recall
object recognition task,trm_551b0f2b930ab,object recognition task
facial recognition task,trm_5090b32d6b376,facial recognition task
perceptual closure task,trm_551b05e03be48,perceptual closure task
recognition memory test,tsk_4a57abb949d40,recognition memory test
foreshortened view task,trm_4fbd2dc0273d9,foreshortened view task
multi-class n-back task,trm_558c324478d22,multi-class n-back task
forward digit span task,tsk_4a57abb949a85,forward digit span task
halstead-reitan battery,trm_529911569b592,halstead-reitan battery
pattern comparison task,trm_4da86cb034ff6,pattern comparison task
sternberg recent probes,trm_56674987c8f0c,sternberg recent probes
children's memory scale,trm_52167db323438,children's memory scale
vandenberg & kuse tasks,trm_4af89b3a925ca,vandenberg & kuse tasks
tower of london imagine,trm_5696bcf1b5c64,tower of london imagine
discourse comprehension,trm_4a3fd79d0b6d1,discourse comprehension
preconscious perception,trm_4a3fd79d0ad4c,preconscious perception
preattentive processing,trm_4a3fd79d0ad41,preattentive processing
potential monetary loss,trm_557b494ca540d,potential monetary loss
visual object detection,trm_557b4b56de455,visual object detection
feature-based attention,trm_5524572b66764,feature-based attention
cambridge gambling task,trm_4d54b2cc0f943,cambridge gambling task
phonological processing,trm_52b5f1ef4f9cc,phonological processing
brief symptom inventory,trm_52405b6f7ebe9,brief symptom inventory
inattentional blindness,trm_4fe3861edc919,inattentional blindness
word comprehension task,trm_4f240fbdf1601,word comprehension task
visual tool recognition,trm_557b4b8cd05ca,visual tool recognition
visual word recognition,trm_557b4b9ccdc4a,visual word recognition
phonological comparison,trm_558c73b3663a6,phonological comparison
interference resolution,trm_4c3e04d656f06,interference resolution
visuospatial sketch pad,trm_4a3fd79d0b507,visuospatial sketch pad
attention networks test,trm_4da6304c9aa23,attention networks test
working memory updating,trm_55b6b9a666604,working memory updating
motor sequence learning,trm_4a3fd79d0a9b9,motor sequence learning
action observation task,tsk_4a57abb949846,action observation task
conjunction search task,trm_4f24194bce29f,conjunction search task
visual form recognition,trm_557b4b3a6a34d,visual form recognition
auditory scene analysis,trm_4a3fd79d09aca,auditory scene analysis
semantic categorization,trm_557b4ab076338,semantic categorization
digit cancellation task,trm_4da89077f19ae,digit cancellation task
auditory lexical access,trm_4a3fd79d09a84,auditory lexical access
dichotic listening task,trm_4da87e9c79847,dichotic listening task
semantic working memory,trm_4a3fd79d0b08f,semantic working memory
auditory tone detection,trm_557b474e2b578,auditory tone detection
auditory working memory,trm_4a3fd79d09b04,auditory working memory
autobiographical memory,trm_4a3fd79d09b10,autobiographical memory
visual pursuit/tracking,trm_4c8a85534241d,visual pursuit/tracking
autobiographical recall,trm_4a3fd79d09b1c,autobiographical recall
visual body recognition,trm_557b4af7cc1cb,visual body recognition
wais picture completion,trm_5107067241007,wais picture completion
wrat-4 math computation,trm_5696d061adfb5,wrat-4 math computation
contrast detection task,trm_502be67697201,contrast detection task
visual face recognition,trm_557b4b154e0d9,visual face recognition
sense of body ownership,trm_4e5faabfe8ce3,sense of body ownership
sentence comprehension,trm_4a3fd79d0b892,sentence comprehension
pavlovian conditioning,trm_4a3fd79d0ab70,pavlovian conditioning
spatial working memory,trm_4a3fd79d0b1e0,spatial working memory
proactive interference,trm_4a3fd79d0adab,proactive interference
performance monitoring,trm_4a3fd79d0ac30,performance monitoring
phonological awareness,trm_5240fddc2e43e,phonological awareness
multistable perception,trm_502abeab4e1d8,multistable perception
phonological retrieval,trm_4a3fd79d0ac93,phonological retrieval
reinforcement learning,trm_557b4993a0fdd,reinforcement learning
thermal grill illusion,trm_4e5fcd75efb58,thermal grill illusion
object-based attention,trm_552185f5cda66,object-based attention
novelty detection task,trm_551eff0fdab74,novelty detection task
object perception task,trm_551b0ee81fb6b,object perception task
antisocial personality,trm_523e024c14df9,antisocial personality
short-term memory task,trm_4f24239cc239e,short-term memory task
articulatory rehearsal,trm_4a3fd79d098a6,articulatory rehearsal
audiovisual perception,trm_4a3fd79d09953,audiovisual perception
semantic decision task,trm_4f240cb09f8e5,semantic decision task
scene recognition task,trm_4da6327154fd4,scene recognition task
availability heuristic,trm_4a3fd79d09b33,availability heuristic
categorical clustering,trm_4a3fd79d09c05,categorical clustering
categorical perception,trm_4a3fd79d09c1c,categorical perception
reversal learning task,tsk_4a57abb949d4e,reversal learning task
context representation,trm_56798c5f25b0c,context representation
pseudoword naming task,tsk_4a57abb949d25,pseudoword naming task
elaborative processing,trm_4a3fd79d0a173,elaborative processing
emotional intelligence,trm_4a3fd79d0a1a2,emotional intelligence
phoneme detection task,trm_4f24479b0db8f,phoneme detection task
facial age recognition,trm_5595bd6c61d78,facial age recognition
figure ground reversal,trm_4a3fd79d0b9d1,figure ground reversal
pdd behavior inventory,trm_5262d903ae91d,pdd behavior inventory
passive avoidance task,trm_4f241fd47f16b,passive avoidance task
parallel/serial search,trm_551b06cf9783b,parallel/serial search
mechanical stimulation,trm_4e5d07565b68e,mechanical stimulation
intentional forgetting,trm_4a3fd79d0a689,intentional forgetting
orientation match task,trm_4fbd2b4bb165c,orientation match task
language comprehension,trm_4a3fd79d0a775,language comprehension
mathematical reasoning,trm_4a3fd79d0a862,mathematical reasoning
mental arithmetic task,trm_4f24179122380,mental arithmetic task
spatial cuing paradigm,trm_551f0634b2607,spatial cuing paradigm
tonic pain stimulation,trm_4e6112759926e,tonic pain stimulation
eye tracking paradigms,trm_55217b48995ce,eye tracking paradigms
working memory storage,trm_4a3fd79d0ba77,working memory storage
abstract/concrete task,trm_4f24126c22011,abstract/concrete task
logical reasoning task,trm_4f24154867d84,logical reasoning task
general knowledge task,trm_4f24237f2ed47,general knowledge task
dietary decisions task,trm_56674d6aa9faf,dietary decisions task
action-perception loop,trm_551b15af981c6,action-perception loop
color-word stroop task,trm_4b1968619b00b,color-word stroop task
letter comparison task,trm_4da86c8bb3b04,letter comparison task
visual analogue scales,trm_50f7370ace495,visual analogue scales
unconscious perception,trm_4feb44e5ae25b,unconscious perception
contextual cueing task,trm_4f24492504ca0,contextual cueing task
big five questionnaire,trm_523f5c17d7edb,big five questionnaire
tactile working memory,trm_4e416f1373936,tactile working memory
